PDF,Supplementary PDF,Title,Authors,Code
http://proceedings.mlr.press/v97/abbati19a/abbati19a.pdf,http://proceedings.mlr.press/v97/abbati19a/abbati19a-supp.pdf,AReS and MaRS Adversarial and MMD-Minimizing Regression for SDEs,"Gabriele Abbati
Philippe Wenk
Michael A. Osborne
Andreas Krause
Bernhard Schölkopf
Stefan Bauer",https://github.com/gabb7/AReS-MaRS
http://proceedings.mlr.press/v97/agarwal19c/agarwal19c.pdf,http://proceedings.mlr.press/v97/agarwal19c/agarwal19c-supp.pdf,Online Control with Adversarial Disturbances,"Naman Agarwal
Brian Bullins
Elad Hazan
Sham Kakade
Karan Singh",--
http://proceedings.mlr.press/v97/bertran19a/bertran19a.pdf,http://proceedings.mlr.press/v97/bertran19a/bertran19a-supp.pdf,Adversarially Learned Representations for Information Obfuscation and Inference,"Martin Bertran
Natalia Martinez
Afroditi Papadaki
Qiang Qiu
Miguel Rodrigues
Galen Reeves
Guillermo Sapiro",https://github.com/MartinBertran/AIOI
http://proceedings.mlr.press/v97/bhagoji19a/bhagoji19a.pdf,http://proceedings.mlr.press/v97/bhagoji19a/bhagoji19a-supp.pdf,Analyzing Federated Learning through an Adversarial Lens,"Arjun Nitin Bhagoji
Supriyo Chakraborty
Prateek Mittal
Seraphin Calo",https://github.com/inspire-group/ModelPoisoning
http://proceedings.mlr.press/v97/bojchevski19a/bojchevski19a.pdf,http://proceedings.mlr.press/v97/bojchevski19a/bojchevski19a-supp.pdf,Adversarial Attacks on Node Embeddings via Graph Poisoning,"Aleksandar Bojchevski
Stephan Günnemann",https://github.com/abojchevski/node_embedding_attack
http://proceedings.mlr.press/v97/bubeck19a/bubeck19a.pdf,http://proceedings.mlr.press/v97/bubeck19a/bubeck19a-supp.pdf,Adversarial examples from computational constraints,"Sebastien Bubeck
Yin Tat Lee
Eric Price
Ilya Razenshteyn",--
http://proceedings.mlr.press/v97/cardoso19a/cardoso19a.pdf,http://proceedings.mlr.press/v97/cardoso19a/cardoso19a-supp.pdf,Competing Against Nash Equilibria in Adversarially Changing Zero-Sum Games,"Adrian Rivera Cardoso
Jacob Abernethy
He Wang
Huan Xu",--
http://proceedings.mlr.press/v97/chen19i/chen19i.pdf,--,Transferability vs. Discriminability: Batch Spectral Penalization for Adversarial Domain Adaptation,"Xinyang Chen
Sinan Wang
Mingsheng Long
Jianmin Wang",https://github.com/github.com/thuml/Batch-Spectral-Penalization
http://proceedings.mlr.press/v97/chen19l/chen19l.pdf,--,Multivariate-Information Adversarial Ensemble for Scalable Joint Distribution Matching,"Ziliang Chen
Zhanfu Yang
Xiaoxi Wang
Xiaodan Liang
Xiaopeng Yan
Guanbin Li
Liang Lin",https://github.com/MintYiqingchen/MMI-ALI
http://proceedings.mlr.press/v97/chen19m/chen19m.pdf,http://proceedings.mlr.press/v97/chen19m/chen19m-supp.pdf,Robust Decision Trees Against Adversarial Examples,"Hongge Chen
Huan Zhang
Duane Boning
Cho-Jui Hsieh",https://github.com/chenhongge/RobustTrees
http://proceedings.mlr.press/v97/cohen19c/cohen19c.pdf,http://proceedings.mlr.press/v97/cohen19c/cohen19c-supp.pdf,Certified Adversarial Robustness via Randomized Smoothing,"Jeremy Cohen
Elan Rosenfeld
Zico Kolter",http://github.com/locuslab/smoothing
http://proceedings.mlr.press/v97/cranko19a/cranko19a.pdf,http://proceedings.mlr.press/v97/cranko19a/cranko19a-supp.pdf,Monge blunts Bayes: Hardness Results for Adversarial Training,"Zac Cranko
Aditya Menon
Richard Nock
Cheng Soon Ong
Zhan Shi
Christian Walder",https://gitlab.com/machlearn/monge_image_example
http://proceedings.mlr.press/v97/dohmatob19a/dohmatob19a.pdf,http://proceedings.mlr.press/v97/dohmatob19a/dohmatob19a-supp.pdf,Generalized No Free Lunch Theorem for Adversarial Robustness,Elvis Dohmatob,https://github.com/dohmatob/StrongNoFreeLunchForAR
http://proceedings.mlr.press/v97/etmann19a/etmann19a.pdf,http://proceedings.mlr.press/v97/etmann19a/etmann19a-supp.pdf,On the Connection Between Adversarial Robustness and Saliency Map Interpretability,"Christian Etmann
Sebastian Lunz
Peter Maass
Carola Schoenlieb",https://github.com/cetmann/robustness-interpretability
