"Title"	"Authors"	"PDF"	"Supplementary PDF"	"Code"	"Abstract"
"Sorting Out Lipschitz Function Approximation"	"Cem Anil, James Lucas, Roger Grosse"	"http://proceedings.mlr.press/v97/anil19a/anil19a.pdf"	"http://proceedings.mlr.press/v97/anil19a/anil19a-supp.pdf"	"https://github.com/cemanil/LNets"	"Training neural networks under a strict Lipschitz constraint is useful for provable adversarial robustness, generalization bounds, interpretable gradients, and Wasserstein distance estimation. By the composition property of Lipschitz functions, it suffices to ensure that each individual affine transformation or nonlinear activation is 1-Lipschitz. The challenge is to do this while maintaining the expressive power. We identify a necessary property for such an architecture: each of the layers must preserve the gradient norm during backpropagation. Based on this, we propose to combine a gradient norm preserving activation function, GroupSort, with norm-constrained weight matrices. We show that norm-constrained GroupSort architectures are universal Lipschitz function approximators. Empirically, we show that norm-constrained GroupSort networks achieve tighter estimates of Wasserstein distance than their ReLU counterparts and can achieve provable adversarial robustness guarantees with little cost to accuracy."
"A Kernel Perspective for Regularizing Deep Neural Networks"	"Alberto Bietti, Grégoire Mialon, Dexiong Chen, Julien Mairal"	"http://proceedings.mlr.press/v97/bietti19a/bietti19a.pdf"	"http://proceedings.mlr.press/v97/bietti19a/bietti19a-supp.pdf"	"https://github.com/albietz/kernel_reg"	"We propose a new point of view for regularizing deep neural networks by using the norm of a reproducing kernel Hilbert space (RKHS). Even though this norm cannot be computed, it admits upper and lower approximations leading to various practical strategies. Specifically, this perspective (i) provides a common umbrella for many existing regularization principles, including spectral norm and gradient penalties, or adversarial training, (ii) leads to new effective regularization penalties, and (iii) suggests hybrid strategies combining lower and upper bounds to get better approximations of the RKHS norm. We experimentally show this approach to be effective when learning on small datasets, or to obtain adversarially robust models."
"Adversarial Attacks on Node Embeddings via Graph Poisoning"	"Aleksandar Bojchevski, Stephan Günnemann"	"http://proceedings.mlr.press/v97/bojchevski19a/bojchevski19a.pdf"	"http://proceedings.mlr.press/v97/bojchevski19a/bojchevski19a-supp.pdf"	"https://github.com/abojchevski/node_embedding_attack"	"The goal of network representation learning is to learn low-dimensional node embeddings that capture the graph structure and are useful for solving downstream tasks. However, despite the proliferation of such methods, there is currently no study of their robustness to adversarial attacks. We provide the first adversarial vulnerability analysis on the widely used family of methods based on random walks. We derive efficient adversarial perturbations that poison the network structure and have a negative effect on both the quality of the embeddings and the downstream tasks. We further show that our attacks are transferable since they generalize to many models and are successful even when the attacker is restricted."
"Adversarial examples from computational constraints"	"Sebastien Bubeck, Yin Tat Lee, Eric Price, Ilya Razenshteyn"	"http://proceedings.mlr.press/v97/bubeck19a/bubeck19a.pdf"	"http://proceedings.mlr.press/v97/bubeck19a/bubeck19a-supp.pdf"	"--"	"Why are classifiers in high dimension vulnerable to “adversarial” perturbations? We show that it is likely not due to information theoretic limitations, but rather it could be due to computational constraints. First we prove that, for a broad set of classification tasks, the mere existence of a robust classifier implies that it can be found by a possibly exponential-time algorithm with relatively few training examples. Then we give two particular classification tasks where learning a robust classifier is computationally intractable. More precisely we construct two binary classifications task in high dimensional space which are (i) information theoretically easy to learn robustly for large perturbations, (ii) efficiently learnable (non-robustly) by a simple linear separator, (iii) yet are not efficiently robustly learnable, even for small perturbations. Specifically, for the first task hardness holds for any efficient algorithm in the statistical query (SQ) model, while for the second task we rule out any efficient algorithm under a cryptographic assumption. These examples give an exponential separation between classical learning and robust learning in the statistical query model or under a cryptographic assumption. It suggests that adversarial examples may be an unavoidable byproduct of computational limitations of learning algorithms."
"Robust Decision Trees Against Adversarial Examples"	"Hongge Chen, Huan Zhang, Duane Boning, Cho-Jui Hsieh"	"http://proceedings.mlr.press/v97/chen19m/chen19m.pdf"	"http://proceedings.mlr.press/v97/chen19m/chen19m-supp.pdf"	"https://github.com/chenhongge/RobustTrees"	"Although adversarial examples and model robust-ness have been extensively studied in the context of neural networks, research on this issue in tree-based models and how to make tree-based models robust against adversarial examples is still limited. In this paper, we show that tree-based models are also vulnerable to adversarial examples and develop a novel algorithm to learn robust trees. At its core, our method aims to optimize the performance under the worst-case perturbation of input features, which leads to a max-min saddle point problem. Incorporating this saddle point objective into the decision tree building procedure is non-trivial due to the discrete nature of trees{—}a naive approach to finding the best split according to this saddle point objective will take exponential time. To make our approach practical and scalable, we propose efficient tree building algorithms by approximating the inner minimizer in the saddlepoint problem, and present efficient implementations for classical information gain based trees as well as state-of-the-art tree boosting systems such as XGBoost. Experimental results on real world datasets demonstrate that the proposed algorithms can significantly improve the robustness of tree-based models against adversarial examples."
"Certified Adversarial Robustness via Randomized Smoothing"	"Jeremy Cohen, Elan Rosenfeld, Zico Kolter"	"http://proceedings.mlr.press/v97/cohen19c/cohen19c.pdf"	"http://proceedings.mlr.press/v97/cohen19c/cohen19c-supp.pdf"	"http://github.com/locuslab/smoothing"	"We show how to turn any classifier that classifies well under Gaussian noise into a new classifier that is certifiably robust to adversarial perturbations under the L2 norm. While this ""randomized smoothing"" technique has been proposed before in the literature, we are the first to provide a tight analysis, which establishes a close connection between L2 robustness and Gaussian noise. We use the technique to train an ImageNet classifier with e.g. a certified top-1 accuracy of 49% under adversarial perturbations with L2 norm less than 0.5 (=127/255). Smoothing is the only approach to certifiably robust classification which has been shown feasible on full-resolution ImageNet. On smaller-scale datasets where competing approaches to certified L2 robustness are viable, smoothing delivers higher certified accuracies. The empirical success of the approach suggests that provable methods based on randomization at prediction time are a promising direction for future research into adversarially robust classification."
"Monge blunts Bayes: Hardness Results for Adversarial Training"	"Zac Cranko, Aditya Menon, Richard Nock, Cheng Soon Ong, Zhan Shi, Christian Walder"	"http://proceedings.mlr.press/v97/cranko19a/cranko19a.pdf"	"http://proceedings.mlr.press/v97/cranko19a/cranko19a-supp.pdf"	"https://gitlab.com/machlearn/monge_image_example"	"The last few years have seen a staggering number of empirical studies of the robustness of neural networks in a model of adversarial perturbations of their inputs. Most rely on an adversary which carries out local modifications within prescribed balls. None however has so far questioned the broader picture: how to frame a resource-bounded adversary so that it can be severely detrimental to learning, a non-trivial problem which entails at a minimum the choice of loss and classifiers. We suggest a formal answer for losses that satisfy the minimal statistical requirement of being proper . We pin down a simple sufficient property for any given class of adversaries to be detrimental to learning, involving a central measure of “harmfulness” which generalizes the well-known class of integral probability metrics. A key feature of our result is that it holds for all proper losses, and for a popular subset of these, the optimisation of this central measure appears to be independent of the loss . When classifiers are Lipschitz – a now popular approach in adversarial training –, this optimisation resorts to optimal transport to make a low-budget compression of class marginals. Toy experiments reveal a finding recently separately observed: training against a sufficiently budgeted adversary of this kind improves generalization."
"Generalized No Free Lunch Theorem for Adversarial Robustness"	"Elvis Dohmatob"	"http://proceedings.mlr.press/v97/dohmatob19a/dohmatob19a.pdf"	"http://proceedings.mlr.press/v97/dohmatob19a/dohmatob19a-supp.pdf"	"https://github.com/dohmatob/StrongNoFreeLunchForAR"	"This manuscript presents some new impossibility results on adversarial robustness in machine learning, a very important yet largely open problem. We show that if conditioned on a class label the data distribution satisfies the $W_2$ Talagrand transportation-cost inequality (for example, this condition is satisfied if the conditional distribution has density which is log-concave; is the uniform measure on a compact Riemannian manifold with positive Ricci curvature, any classifier can be adversarially fooled with high probability once the perturbations are slightly greater than the natural noise level in the problem. We call this result The Strong ""No Free Lunch"" Theorem as some recent results (Tsipras et al. 2018, Fawzi et al. 2018, etc.) on the subject can be immediately recovered as very particular cases. Our theoretical bounds are demonstrated on both simulated and real data (MNIST). We conclude the manuscript with some speculation on possible future research directions."
"GDPP: Learning Diverse Generations using Determinantal Point Processes"	"Mohamed Elfeki, Camille Couprie, Morgane Riviere, Mohamed Elhoseiny"	"http://proceedings.mlr.press/v97/elfeki19a/elfeki19a.pdf"	"http://proceedings.mlr.press/v97/elfeki19a/elfeki19a-supp.pdf"	"https://github.com/M-Elfeki/GDPP"	"Generative models have proven to be an outstanding tool for representing high-dimensional probability distributions and generating realistic looking images. An essential characteristic of generative models is their ability to produce multi-modal outputs. However, while training, they are often susceptible to mode collapse, that is models are limited in mapping input noise to only a few modes of the true data distribution. In this work, we draw inspiration from Determinantal Point Process (DPP) to propose an unsupervised penalty loss that alleviates mode collapse while producing higher quality samples. DPP is an elegant probabilistic measure used to model negative correlations within a subset and hence quantify its diversity. We use DPP kernel to model the diversity in real data as well as in synthetic data. Then, we devise an objective term that encourages generator to synthesize data with a similar diversity to real data. In contrast to previous state-of-the-art generative models that tend to use additional trainable parameters or complex training paradigms, our method does not change the original training scheme. Embedded in an adversarial training and variational autoencoder, our Generative DPP approach shows a consistent resistance to mode-collapse on a wide-variety of synthetic data and natural image datasets including MNIST, CIFAR10, and CelebA, while outperforming state-of-the-art methods for data-efficiency, generation quality, and convergence-time whereas being 5.8x faster than its closest competitor."
"Exploring the Landscape of Spatial Robustness"	"Logan Engstrom, Brandon Tran, Dimitris Tsipras, Ludwig Schmidt, Aleksander Madry"	"http://proceedings.mlr.press/v97/engstrom19a/engstrom19a.pdf"	"http://proceedings.mlr.press/v97/engstrom19a/engstrom19a-supp.pdf"	"https://github.com/MadryLab/adversarial_spatial"	"The study of adversarial robustness has so far largely focused on perturbations bound in $\ell_p$-norms. However, state-of-the-art models turn out to be also vulnerable to other, more natural classes of perturbations such as translations and rotations. In this work, we thoroughly investigate the vulnerability of neural network–based classifiers to rotations and translations. While data augmentation offers relatively small robustness, we use ideas from robust optimization and test-time input aggregation to significantly improve robustness. Finally we find that, in contrast to the $\ell_p$-norm case, first-order methods cannot reliably find worst-case perturbations. This highlights spatial robustness as a fundamentally different setting requiring additional study."
